# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  B10  B11  O16  Na23
1.798990E-01  2.818608E+06  4.178082E+03  3.846293E+04  1.644198E+05  1.634368E+04
1.840894E-01  2.736316E+06  4.563328E+03  4.203065E+04  1.563540E+05  1.837340E+04
1.883774E-01  2.674733E+06  4.107392E+03  4.119127E+04  1.505652E+05  1.455190E+04
1.927653E-01  2.601349E+06  4.243262E+03  4.059769E+04  1.487435E+05  1.571154E+04
1.972553E-01  2.569929E+06  4.707034E+03  3.664762E+04  1.517458E+05  1.569011E+04
2.018500E-01  2.531582E+06  4.271326E+03  3.603247E+04  1.453346E+05  1.631865E+04
2.065517E-01  2.445058E+06  4.067070E+03  3.713877E+04  1.469497E+05  1.498394E+04
2.113629E-01  2.393377E+06  3.974492E+03  3.744390E+04  1.404669E+05  1.328317E+04
2.162862E-01  2.349527E+06  2.861911E+03  3.771590E+04  1.420734E+05  1.390071E+04
2.213241E-01  2.326410E+06  3.096419E+03  3.136373E+04  1.422355E+05  1.288510E+04
2.264794E-01  2.229529E+06  3.513990E+03  3.426141E+04  1.376313E+05  1.512968E+04
2.317548E-01  2.192992E+06  3.815558E+03  3.233685E+04  1.282028E+05  1.268673E+04
2.371531E-01  2.136455E+06  3.449052E+03  3.383800E+04  1.246320E+05  1.286403E+04
2.426771E-01  2.082813E+06  3.734925E+03  2.997050E+04  1.255299E+05  1.393765E+04
2.483298E-01  2.047955E+06  4.184041E+03  3.249308E+04  1.287260E+05  1.326430E+04
2.541141E-01  1.979414E+06  3.305839E+03  2.914358E+04  1.270138E+05  1.287537E+04
2.600332E-01  1.961392E+06  3.060558E+03  3.052056E+04  1.244627E+05  1.309239E+04
2.660901E-01  1.917992E+06  3.738614E+03  3.497681E+04  1.165617E+05  1.354209E+04
2.722882E-01  1.872141E+06  2.922810E+03  2.979642E+04  1.227580E+05  1.420810E+04
2.786306E-01  1.811833E+06  3.411666E+03  2.927686E+04  1.141718E+05  1.324996E+04
2.851207E-01  1.770280E+06  3.101402E+03  2.713727E+04  1.092469E+05  1.302589E+04
2.917620E-01  1.720588E+06  3.030806E+03  2.583762E+04  1.105486E+05  1.401748E+04
2.985580E-01  1.694159E+06  3.406088E+03  2.828534E+04  1.064032E+05  1.295794E+04
3.055124E-01  1.644669E+06  2.243158E+03  2.648373E+04  1.077439E+05  1.208411E+04
3.126287E-01  1.604049E+06  2.474948E+03  2.411307E+04  1.050792E+05  1.187975E+04
3.199107E-01  1.566086E+06  1.934889E+03  2.625921E+04  1.010980E+05  1.064189E+04
3.273624E-01  1.543808E+06  2.768738E+03  2.302780E+04  9.967459E+04  9.724350E+03
3.349876E-01  1.513286E+06  2.375749E+03  2.349352E+04  9.786767E+04  1.121882E+04
3.427905E-01  1.477743E+06  2.515143E+03  2.199138E+04  9.680076E+04  1.051201E+04
3.507751E-01  1.449778E+06  2.520914E+03  2.300334E+04  1.001433E+05  1.191132E+04
3.589457E-01  1.400579E+06  2.709884E+03  2.340355E+04  9.238242E+04  9.915713E+03
3.673066E-01  1.362138E+06  3.250063E+03  2.250970E+04  9.346942E+04  8.486277E+03
3.758623E-01  1.345365E+06  2.352654E+03  2.317364E+04  8.828334E+04  1.029286E+04
3.846173E-01  1.313534E+06  2.529011E+03  2.166903E+04  9.276873E+04  9.771180E+03
3.935762E-01  1.296160E+06  2.246767E+03  2.044558E+04  9.032004E+04  9.099407E+03
4.027437E-01  1.256281E+06  1.701609E+03  1.937639E+04  8.508045E+04  1.004498E+04
4.121248E-01  1.226344E+06  1.662876E+03  1.968630E+04  8.432389E+04  7.509761E+03
4.217245E-01  1.191667E+06  1.991965E+03  1.939545E+04  8.287622E+04  9.225943E+03
4.315477E-01  1.168383E+06  2.971160E+03  1.921009E+04  8.303881E+04  9.630657E+03
4.415997E-01  1.147795E+06  1.802190E+03  1.937354E+04  7.944654E+04  8.960889E+03
4.518859E-01  1.130327E+06  2.201459E+03  2.049803E+04  8.023095E+04  9.392892E+03
4.624117E-01  1.078590E+06  1.912309E+03  1.816694E+04  8.079506E+04  7.458005E+03
4.731826E-01  1.079921E+06  1.681902E+03  1.920171E+04  7.942313E+04  7.568557E+03
4.842045E-01  1.031689E+06  2.282801E+03  1.849069E+04  7.606293E+04  8.263740E+03
4.954830E-01  1.020118E+06  2.320072E+03  1.726669E+04  7.584850E+04  7.941784E+03
5.070243E-01  9.927549E+05  2.005654E+03  1.739686E+04  7.425278E+04  7.630204E+03
5.188344E-01  9.796588E+05  2.300869E+03  1.674521E+04  7.298867E+04  8.393910E+03
5.309196E-01  9.436599E+05  1.957023E+03  1.590602E+04  6.932858E+04  7.120233E+03
5.432863E-01  9.407346E+05  2.115931E+03  1.505566E+04  6.836084E+04  7.934740E+03
5.559411E-01  9.089025E+05  1.630354E+03  1.642284E+04  7.101981E+04  6.600946E+03
5.688906E-01  8.864647E+05  1.942979E+03  1.639874E+04  6.633330E+04  7.966213E+03
5.821418E-01  8.682230E+05  2.240527E+03  1.587356E+04  6.577275E+04  8.012730E+03
5.957016E-01  8.437468E+05  1.595756E+03  1.469580E+04  6.535178E+04  7.236569E+03
6.095773E-01  8.379954E+05  1.160508E+03  1.610205E+04  6.400926E+04  7.180642E+03
6.237762E-01  8.163332E+05  1.559376E+03  1.445967E+04  6.251679E+04  6.131182E+03
6.383058E-01  7.900279E+05  1.489246E+03  1.437296E+04  6.254835E+04  7.030628E+03
6.531738E-01  7.748876E+05  2.030717E+03  1.377503E+04  5.983845E+04  6.904437E+03
6.683882E-01  7.510310E+05  1.918342E+03  1.270075E+04  6.059315E+04  6.846497E+03
6.839570E-01  7.358747E+05  1.389846E+03  1.406007E+04  5.908460E+04  6.270466E+03
6.998884E-01  7.204508E+05  1.137105E+03  1.383478E+04  5.717111E+04  7.012148E+03
7.161909E-01  7.094222E+05  1.419894E+03  1.333466E+04  5.769091E+04  5.710443E+03
