# Er [keV]  dR/dEr H1 [1/keV/decay]  C12  C13  O16  Na23
4.518859E-02  1.854633E+07  8.419470E+05  8.103436E+03  6.579990E+05  7.374127E+04
4.624117E-02  1.821365E+07  8.394118E+05  7.918979E+03  6.548996E+05  9.740344E+04
4.731826E-02  1.751737E+07  8.551287E+05  9.286466E+03  6.198716E+05  6.345751E+04
4.842045E-02  1.715341E+07  8.182697E+05  9.831336E+03  6.193742E+05  7.638192E+04
4.954830E-02  1.708887E+07  7.900361E+05  1.034659E+04  6.074926E+05  9.238027E+04
5.070243E-02  1.649622E+07  7.850526E+05  1.083329E+04  5.907755E+05  7.944414E+04
5.188344E-02  1.619765E+07  7.573017E+05  7.763577E+03  5.483909E+05  8.116467E+04
5.309196E-02  1.579032E+07  7.738594E+05  1.103543E+04  5.697040E+05  7.035085E+04
5.432863E-02  1.516937E+07  7.265876E+05  1.213226E+04  5.574099E+05  6.807546E+04
5.559411E-02  1.488006E+07  7.357366E+05  9.221408E+03  5.519671E+05  6.125650E+04
5.688906E-02  1.472930E+07  7.209203E+05  1.416093E+04  5.664373E+05  6.822995E+04
5.821418E-02  1.427702E+07  6.755749E+05  9.435403E+03  5.202052E+05  6.667685E+04
5.957016E-02  1.404179E+07  7.112177E+05  9.220627E+03  5.286493E+05  7.499443E+04
6.095773E-02  1.361102E+07  6.571833E+05  4.805728E+03  5.034000E+05  6.968306E+04
6.237762E-02  1.331177E+07  6.463333E+05  7.631547E+03  4.807874E+05  6.105237E+04
6.383058E-02  1.309022E+07  5.960528E+05  6.310473E+03  4.698434E+05  6.425209E+04
6.531738E-02  1.284719E+07  6.447139E+05  9.530554E+03  4.815733E+05  5.494084E+04
6.683882E-02  1.230492E+07  6.042890E+05  7.670033E+03  4.651327E+05  6.081241E+04
6.839570E-02  1.209282E+07  6.124847E+05  5.353887E+03  4.411603E+05  7.281286E+04
6.998884E-02  1.185837E+07  5.922644E+05  5.755219E+03  4.269326E+05  5.964500E+04
7.161909E-02  1.162934E+07  5.690683E+05  6.646799E+03  4.253951E+05  6.084378E+04
7.328731E-02  1.120873E+07  5.711043E+05  5.496192E+03  4.421936E+05  5.696053E+04
7.499439E-02  1.113767E+07  5.654286E+05  7.812485E+03  4.262687E+05  5.224599E+04
7.674123E-02  1.088224E+07  5.768933E+05  5.248823E+03  4.070223E+05  5.869138E+04
7.852877E-02  1.055526E+07  5.231932E+05  4.663041E+03  4.098813E+05  4.569780E+04
8.035794E-02  1.025256E+07  5.436378E+05  5.468276E+03  3.832350E+05  5.559414E+04
8.222971E-02  1.010335E+07  5.268099E+05  6.679754E+03  3.851991E+05  5.388335E+04
8.414509E-02  9.943869E+06  4.826149E+05  5.222163E+03  4.064584E+05  5.222163E+04
8.610508E-02  9.756644E+06  4.839622E+05  6.804390E+03  3.593568E+05  5.656149E+04
8.811073E-02  9.470139E+06  4.633872E+05  5.402721E+03  3.698786E+05  4.571533E+04
9.016309E-02  9.259446E+06  4.609619E+05  9.341079E+03  3.525242E+05  4.101952E+04
9.226326E-02  9.047881E+06  4.679323E+05  5.556448E+03  3.790291E+05  4.603914E+04
9.441234E-02  8.820982E+06  4.658137E+05  3.878548E+03  3.645835E+05  4.460331E+04
9.661149E-02  8.606168E+06  4.453558E+05  9.096628E+03  3.198981E+05  4.965243E+04
9.886186E-02  8.502497E+06  4.148463E+05  4.815180E+03  3.178019E+05  4.296622E+04
1.011646E-01  8.235477E+06  4.339987E+05  3.981639E+03  3.091200E+05  4.271213E+04
1.035211E-01  8.069239E+06  4.276569E+05  8.489467E+03  3.151715E+05  4.386225E+04
1.059324E-01  7.909412E+06  4.155025E+05  4.493788E+03  3.000468E+05  3.871571E+04
1.083999E-01  7.643231E+06  4.003018E+05  4.391497E+03  3.236195E+05  3.817224E+04
1.109248E-01  7.432277E+06  3.948211E+05  7.592714E+03  2.848918E+05  4.126475E+04
1.135086E-01  7.343426E+06  3.874469E+05  5.806865E+03  2.880850E+05  4.129326E+04
1.161526E-01  7.159245E+06  3.773665E+05  5.359424E+03  2.758527E+05  3.846175E+04
1.188581E-01  7.079155E+06  3.869536E+05  6.777849E+03  2.994577E+05  4.128326E+04
1.216267E-01  6.895735E+06  3.648983E+05  5.720353E+03  2.742759E+05  4.124675E+04
1.244597E-01  6.674923E+06  3.468830E+05  5.295924E+03  2.756822E+05  3.736568E+04
1.273587E-01  6.498832E+06  3.496252E+05  5.462894E+03  2.737198E+05  3.622762E+04
1.303253E-01  6.359049E+06  3.529058E+05  2.809760E+03  2.641174E+05  4.046054E+04
1.333610E-01  6.267018E+06  3.201605E+05  4.393283E+03  2.597529E+05  3.514626E+04
1.364674E-01  6.138585E+06  3.316559E+05  3.219960E+03  2.669883E+05  3.488290E+04
1.396461E-01  6.010392E+06  3.227953E+05  3.408887E+03  2.519954E+05  3.723553E+04
1.428989E-01  5.853591E+06  3.205727E+05  3.331291E+03  2.431842E+05  3.485043E+04
1.462274E-01  5.670513E+06  3.085176E+05  4.507562E+03  2.444100E+05  2.954957E+04
1.496335E-01  5.561014E+06  2.890141E+05  3.915518E+03  2.288131E+05  2.985582E+04
1.531189E-01  5.499239E+06  2.953494E+05  3.108942E+03  2.350838E+05  2.941537E+04
1.566855E-01  5.276606E+06  2.942354E+05  3.505585E+03  2.344068E+05  2.243574E+04
1.603352E-01  5.190069E+06  2.937042E+05  3.425788E+03  2.292994E+05  3.311595E+04
1.640699E-01  5.090230E+06  2.655927E+05  3.794182E+03  2.160452E+05  2.856796E+04
1.678915E-01  4.939683E+06  2.667446E+05  4.362136E+03  2.126541E+05  3.053495E+04
1.718022E-01  4.833423E+06  2.730350E+05  2.983989E+03  2.193232E+05  3.047932E+04
1.758040E-01  4.738398E+06  2.686946E+05  4.582388E+03  2.205795E+05  3.353475E+04
1.798990E-01  4.637663E+06  2.481264E+05  3.460335E+03  2.047704E+05  3.134656E+04
1.840894E-01  4.458896E+06  2.556068E+05  3.381568E+03  2.011038E+05  2.943953E+04
1.883774E-01  4.406773E+06  2.493997E+05  4.276534E+03  1.973037E+05  2.352093E+04
1.927653E-01  4.322040E+06  2.416330E+05  2.849446E+03  1.886333E+05  2.868443E+04
1.972553E-01  4.232940E+06  2.437440E+05  2.413307E+03  1.873097E+05  2.506126E+04
2.018500E-01  4.096313E+06  2.323905E+05  3.265440E+03  1.761523E+05  2.721200E+04
2.065517E-01  4.036754E+06  2.368512E+05  3.900245E+03  1.758656E+05  2.783357E+04
2.113629E-01  3.926675E+06  2.247032E+05  2.598726E+03  1.806981E+05  2.529426E+04
2.162862E-01  3.820024E+06  2.307624E+05  3.386095E+03  1.762463E+05  2.759668E+04
2.213241E-01  3.738364E+06  2.190570E+05  4.136273E+03  1.843123E+05  2.531399E+04
2.264794E-01  3.722146E+06  2.153642E+05  2.910326E+03  1.730027E+05  2.700136E+04
2.317548E-01  3.606925E+06  2.087238E+05  2.686075E+03  1.646406E+05  2.370066E+04
2.371531E-01  3.517718E+06  2.133916E+05  4.014603E+03  1.547166E+05  2.362439E+04
2.426771E-01  3.440361E+06  2.053654E+05  2.414289E+03  1.548163E+05  2.233217E+04
2.483298E-01  3.349663E+06  1.927280E+05  3.391541E+03  1.594024E+05  2.182383E+04
2.541141E-01  3.324283E+06  2.028952E+05  2.882035E+03  1.554858E+05  1.988604E+04
