# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Na23  S32  S34
5.821418E-01  2.523283E+05  1.636515E+04  2.066363E+03  2.762517E+02  0.000000E+00
5.957016E-01  2.476105E+05  1.641378E+04  1.976133E+03  2.159708E+02  0.000000E+00
6.095773E-01  2.414466E+05  1.587131E+04  2.152758E+03  2.532656E+02  0.000000E+00
6.237762E-01  2.357031E+05  1.567504E+04  1.990317E+03  2.578131E+02  0.000000E+00
6.383058E-01  2.314564E+05  1.531823E+04  1.965168E+03  3.224891E+02  0.000000E+00
6.531738E-01  2.234008E+05  1.436879E+04  1.949980E+03  2.954515E+02  0.000000E+00
6.683882E-01  2.193357E+05  1.392623E+04  1.770854E+03  2.117326E+02  0.000000E+00
6.839570E-01  2.180016E+05  1.462498E+04  2.247827E+03  3.009643E+02  0.000000E+00
6.998884E-01  2.083610E+05  1.320754E+04  1.893356E+03  2.113941E+02  0.000000E+00
7.161909E-01  2.040673E+05  1.404759E+04  1.742476E+03  2.425095E+02  0.000000E+00
