# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Al27  Si28  Si29  Si30  K39  K41
4.624117E-02  1.942983E+06  6.274445E+05  5.457570E+04  7.068433E+04  3.697064E+03  3.697064E+03  1.736740E+05  2.992861E+03
4.731826E-02  1.903745E+06  6.245170E+05  5.212910E+04  6.640869E+04  4.731189E+03  2.924735E+03  1.671400E+05  2.408605E+03
4.842045E-02  1.841748E+06  6.145044E+05  5.506161E+04  6.052574E+04  4.791621E+03  3.278478E+03  1.631673E+05  1.597207E+03
4.954830E-02  1.819294E+06  6.011738E+05  5.290461E+04  6.621291E+04  4.353951E+03  2.218050E+03  1.562493E+05  1.396550E+03
5.070243E-02  1.767044E+06  5.980061E+05  4.985391E+04  6.566908E+04  5.459043E+03  2.568962E+03  1.594362E+05  2.007001E+03
5.188344E-02  1.732156E+06  5.727044E+05  4.895445E+04  5.946711E+04  4.236443E+03  2.275127E+03  1.527473E+05  1.961316E+03
5.309196E-02  1.708291E+06  5.674114E+05  4.776345E+04  5.888014E+04  3.220008E+03  2.760007E+03  1.541004E+05  2.146672E+03
5.432863E-02  1.651724E+06  5.550200E+05  4.809973E+04  5.918814E+04  4.045772E+03  1.947964E+03  1.499932E+05  1.798121E+03
5.559411E-02  1.625841E+06  5.414343E+05  4.502801E+04  5.674261E+04  4.246544E+03  2.635786E+03  1.486290E+05  2.269704E+03
5.688906E-02  1.580389E+06  5.223126E+05  4.772363E+04  5.473550E+04  3.577483E+03  2.861987E+03  1.386633E+05  1.216344E+03
5.821418E-02  1.563434E+06  5.225895E+05  4.768612E+04  5.355949E+04  3.635892E+03  2.377314E+03  1.404713E+05  2.726919E+03
5.957016E-02  1.519168E+06  5.140421E+05  4.352583E+04  5.158870E+04  3.211482E+03  1.708235E+03  1.402119E+05  1.844894E+03
6.095773E-02  1.479512E+06  4.955969E+05  4.213442E+04  5.568955E+04  3.271928E+03  2.403865E+03  1.394242E+05  1.936447E+03
6.237762E-02  1.456014E+06  4.803352E+05  4.326345E+04  5.083292E+04  3.654228E+03  2.610163E+03  1.353369E+05  2.022876E+03
6.383058E-02  1.415219E+06  4.791581E+05  4.049313E+04  5.509616E+04  3.571048E+03  1.721755E+03  1.349984E+05  1.913061E+03
6.531738E-02  1.364559E+06  4.708061E+05  4.193945E+04  4.829580E+04  4.923055E+03  2.617321E+03  1.326732E+05  1.931832E+03
6.683882E-02  1.351828E+06  4.588104E+05  3.958412E+04  4.944970E+04  3.775716E+03  1.887858E+03  1.254512E+05  1.522466E+03
6.839570E-02  1.324270E+06  4.473549E+05  3.755234E+04  4.915726E+04  2.797084E+03  1.606835E+03  1.267019E+05  1.547323E+03
6.998884E-02  1.284821E+06  4.301347E+05  4.268779E+04  5.048093E+04  3.373150E+03  2.209995E+03  1.261442E+05  1.512102E+03
7.161909E-02  1.251767E+06  4.358593E+05  3.853340E+04  4.643331E+04  3.353201E+03  2.273357E+03  1.233864E+05  1.761852E+03
7.328731E-02  1.234493E+06  4.278263E+05  3.582344E+04  4.498758E+04  2.665931E+03  2.221609E+03  1.190227E+05  8.886436E+02
7.499439E-02  1.215239E+06  4.172737E+05  3.967574E+04  4.684017E+04  2.659523E+03  1.628279E+03  1.176160E+05  1.736831E+03
7.674123E-02  1.177977E+06  4.118595E+05  3.871957E+04  4.550875E+04  2.970268E+03  1.909458E+03  1.176438E+05  1.750337E+03
7.852877E-02  1.138152E+06  4.023289E+05  3.358788E+04  4.234769E+04  3.628321E+03  2.176992E+03  1.191644E+05  1.399495E+03
